transid	transname                        	subsysid	trantype	tranmode	tranlevel	runmode	comlinetype	msgtype	vermacflg	vertellerflg	verbranchflg	rsvflag1	rsvflag2	rsvflag3	rsvflag4	rsvflag5	rsvflag6	rsvitem1                         	rsvitem2                         	rsvitem3                         	rsvitem4                         	rsvitem5                         	rsvitem6                         
804667 	市民之家POS清分                  	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
804666 	市民之家POS对账                  	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
804665 	市民之家公共资源缴费报表打印     	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
804663 	市民之家查询公共资源缴费登记簿   	mps     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	1       	        	1       	        	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
804662 	市民之家公共资源缴费撤销         	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
804015 	汇率登记(传文件)                 	mps     	        	        	         	0      	           	       	0        	2           	0           	3       	1       	1       	1       	1       	        	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
804009 	国际结算对账接口                 	mps     	        	        	         	0      	           	       	0        	2           	0           	1       	1       	1       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
804007 	全行结售汇头寸接口               	mps     	        	        	         	0      	           	       	0        	2           	0           	1       	1       	0       	1       	1       	        	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
804005 	保证金利息查询接口               	mps     	        	        	         	0      	           	       	0        	2           	0           	1       	1       	0       	1       	1       	        	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
804004 	保证金查询接口                   	mps     	        	        	         	0      	           	       	0        	2           	0           	1       	1       	0       	1       	1       	        	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
804003 	客户账户查询接口                 	mps     	        	        	         	0      	           	       	0        	2           	0           	1       	1       	1       	1       	1       	        	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
804002 	客户信息查询接口                 	mps     	        	        	         	0      	           	       	0        	2           	0           	1       	0       	1       	1       	1       	        	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
804001 	国际结算记帐接口                 	mps     	        	        	         	0      	           	       	0        	2           	0           	1       	0       	1       	1       	1       	        	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
802888 	外围前置系统记帐交易-国税        	mps     	        	        	         	1      	           	       	0        	2           	2           	1       	1       	1       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
802200 	贷款放款核准信息                 	aaa     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	1       	        	        	1       	                                 	                                 	                                 	                                 	                                 	tpaaasrv                         
802099 	外围同步批量转帐                 	mps     	        	        	         	1      	           	       	0        	2           	2           	0       	1       	1       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
802033 	查询尾箱余额                     	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
802032 	检查是否本行卡                   	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
802031 	外围柜面通登记薄查询             	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
802012 	国库划款                         	mps     	        	        	         	1      	           	       	0        	2           	2           	0       	1       	1       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
802011 	外围处理返回结果文件             	mps     	        	        	         	1      	           	       	0        	0           	0           	0       	1       	0       	1       	0       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
802010 	通过批次取帐号,凭证号,凭证批次   	mps     	        	        	         	1      	           	       	0        	2           	2           	1       	0       	0       	        	        	        	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
802009 	外围批量开户和批量转帐           	mps     	        	        	         	1      	           	       	0        	0           	0           	1       	0       	1       	1       	1       	1       	                                 	                                 	                                 	                                 	                                 	tpmpssrv                         
